<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.06	13:00:00	94885	95370	94865	95280	26406	70134	5
2019.03.06	13:05:00	95280	95490	95230	95440	20066	64927	5
2019.03.06	13:10:00	95445	95445	95310	95405	19882	61610	5
2019.03.06	13:15:00	95400	95470	95250	95270	16923	58299	5
2019.03.06	13:20:00	95265	95350	95115	95220	23033	83898	5
2019.03.06	13:25:00	95220	95455	95130	95360	25081	94080	5
2019.03.06	13:30:00	95360	95435	95250	95310	16475	58591	5
2019.03.06	13:35:00	95310	95315	95160	95210	15712	56574	5
2019.03.06	13:40:00	95210	95315	95140	95145	16678	55612	5
2019.03.06	13:45:00	95145	95165	94955	94990	25343	89260	5
2019.03.06	13:50:00	94985	94990	94715	94765	31889	110165	5
2019.03.06	13:55:00	94760	94820	94670	94790	22380	79951	5
2019.03.06	14:00:00	94795	94915	94770	94845	17662	58894	5
2019.03.06	14:05:00	94845	94965	94800	94935	13298	48426	5
2019.03.06	14:10:00	94935	94995	94855	94860	14514	53506	5
2019.03.06	14:15:00	94860	94930	94770	94805	23718	67256	5
2019.03.06	14:20:00	94805	94830	94605	94705	35933	105894	5
2019.03.06	14:25:00	94700	94765	94580	94620	22396	62491	5
2019.03.06	14:30:00	94620	94720	94580	94685	14521	47371	5
2019.03.06	14:35:00	94680	94765	94590	94760	14176	52049	5
2019.03.06	14:40:00	94760	94770	94645	94710	14883	49988	5
2019.03.06	14:45:00	94705	94715	94540	94650	21614	63280	5
2019.03.06	14:50:00	94650	94695	94585	94610	13180	36693	5
2019.03.06	14:55:00	94610	94645	94555	94630	13736	39740	5
2019.03.06	15:00:00	94630	94695	94585	94605	11533	38230	5
2019.03.06	15:05:00	94605	94635	94510	94545	19104	65326	5
2019.03.06	15:10:00	94550	94665	94540	94665	7903	26961	5
2019.03.06	15:15:00	94660	94760	94645	94735	13757	47672	5
2019.03.06	15:20:00	94740	94755	94600	94660	15651	51735	5
2019.03.06	15:25:00	94660	94740	94645	94695	9778	33415	5
2019.03.06	15:30:00	94700	94825	94630	94755	15760	53076	5
2019.03.06	15:35:00	94755	94840	94735	94830	11153	41567	5
2019.03.06	15:40:00	94835	94865	94765	94780	10425	37767	5
2019.03.06	15:45:00	94785	94815	94740	94790	9028	31214	5
2019.03.06	15:50:00	94790	94890	94785	94880	9133	35755	5
2019.03.06	15:55:00	94885	94910	94790	94800	12379	43235	5
2019.03.06	16:00:00	94795	94925	94780	94910	10499	36015	5
